5.217	4.041	4.513	5.489	6.479	7.443	6.573	0	0	0	6.793	8.578	7.809	6.724	6.536	6.959	8.808	9.832	9.198	7.840	7.593	9.071	9.969	8.968	10.642	8.133	9.734	10.251	0	8.610	12.248	0	11.036	9.922	9.807	10.961	
6.082	4.892	5.201	6.178	7.168	8.132	7.446	0	0	0	7.497	9.269	8.684	7.590	7.329	7.703	9.518	10.524	10.075	8.716	8.384	9.817	10.681	9.681	11.519	9.009	10.520	10.999	0	9.386	13.125	0	11.815	10.697	10.583	11.737	
6.944	5.746	5.882	6.861	7.852	8.815	8.312	0	0	0	8.198	9.955	9.550	8.452	8.114	8.443	10.224	11.211	10.943	9.583	9.167	10.559	11.390	10.391	12.388	9.878	11.298	11.742	0	10.154	13.994	0	12.586	11.466	11.351	12.505	
7.799	6.597	6.558	7.537	8.531	9.494	9.170	0	0	0	8.895	10.636	10.409	9.309	8.893	9.178	10.927	11.893	11.803	10.442	9.942	11.295	12.095	11.096	13.248	10.738	12.069	12.480	0	10.915	14.854	0	13.350	12.226	12.112	13.266	
8.648	7.443	7.228	8.209	9.205	10.168	10.020	0	0	0	9.587	11.313	11.260	10.160	9.665	9.908	11.625	12.571	12.654	11.293	10.710	12.026	12.796	11.797	14.099	11.589	12.831	13.213	0	11.668	15.706	0	14.105	12.979	12.865	14.019	
9.489	8.283	7.893	8.875	9.874	10.838	10.862	0	0	0	10.276	11.985	12.103	11.002	10.429	10.632	12.320	13.244	13.497	12.135	11.471	12.752	13.493	12.494	14.942	12.432	13.586	13.940	0	12.413	16.549	0	14.852	13.724	13.610	14.765	
10.322	9.115	8.552	9.537	10.538	11.503	11.696	0	0	0	10.961	12.653	12.937	11.836	11.187	11.351	13.010	13.913	14.332	12.970	12.224	13.472	14.186	13.186	15.777	13.266	14.334	14.662	0	13.151	17.383	0	15.592	14.462	14.348	15.503	
11.148	9.940	9.207	10.195	11.199	12.163	12.522	0	0	0	11.642	13.317	13.763	12.662	11.937	12.065	13.696	14.577	15.158	13.796	12.970	14.187	14.874	13.874	16.603	14.092	15.074	15.377	0	13.882	18.209	0	16.324	15.192	15.079	16.233	
11.965	10.757	9.857	10.848	11.855	12.820	13.340	0	0	0	12.318	13.976	14.581	13.480	12.680	12.773	14.378	15.237	15.976	14.614	13.709	14.895	15.558	14.558	17.421	14.910	15.806	16.087	0	14.605	19.027	0	17.049	15.915	15.802	16.957	
12.775	11.566	10.503	11.497	12.506	13.472	14.150	0	0	0	12.990	14.631	15.391	14.289	13.416	13.476	15.055	15.892	16.785	15.423	14.440	15.599	16.238	15.237	18.230	15.720	16.531	16.791	0	15.322	19.837	0	17.766	16.631	16.519	17.673	
13.576	12.368	11.200	12.141	13.154	14.119	14.951	0	0	0	13.658	15.281	16.192	15.091	14.145	14.173	15.728	16.544	17.587	16.225	15.164	16.296	16.913	15.911	19.032	16.522	17.249	17.490	0	16.031	20.639	0	18.476	17.340	17.228	18.382	
14.370	13.161	11.973	12.782	13.797	14.763	15.745	0	0	0	14.322	15.928	16.986	15.885	14.867	14.864	16.396	17.191	18.381	17.019	15.881	16.987	17.584	16.580	19.826	17.315	17.960	18.182	0	16.733	21.432	0	19.179	18.041	17.930	19.084	
15.155	13.947	12.754	13.418	14.436	15.402	16.530	0	0	0	14.980	16.570	17.772	16.670	15.585	15.549	17.060	17.833	19.166	17.804	16.591	17.673	18.250	17.245	20.611	18.101	18.664	18.868	0	17.427	22.218	0	19.874	18.736	18.624	19.779	
15.933	14.725	13.531	14.050	15.071	16.037	17.308	0	0	0	15.635	17.207	18.550	17.448	16.348	16.229	17.718	18.472	19.944	18.582	17.294	18.352	18.910	17.904	21.389	18.879	19.360	19.554	0	18.115	22.996	0	20.563	19.423	19.312	20.467	
16.703	15.495	14.301	14.678	15.701	16.668	18.078	0	0	0	16.284	17.841	19.320	18.218	17.110	16.908	18.372	19.106	20.714	19.352	17.990	19.031	19.567	18.559	22.159	19.649	20.051	20.236	0	18.796	23.766	0	21.244	20.105	19.993	21.148	
17.466	16.257	15.063	15.302	16.328	17.295	18.841	0	0	0	16.929	18.470	20.082	18.981	17.864	17.585	19.022	19.735	21.477	20.114	18.680	19.705	20.218	19.209	22.921	20.411	20.734	20.911	0	19.471	24.528	0	21.919	20.779	20.668	21.822	
18.220	17.012	15.818	15.921	16.950	17.917	19.595	0	0	0	17.570	19.095	20.837	19.735	18.610	18.258	19.668	20.361	22.231	20.869	19.364	20.373	20.865	19.854	23.676	21.166	21.411	21.580	0	20.138	25.283	0	22.587	21.447	21.335	22.489	
